swift_code,id,bank,city,branch
AWMOSKB1,1,ACROSS WEALTH MANAGEMENT, O.C.P., A.S.,BRATISLAVA,None
APRDSKB1,2,AGENTURA PRE RIADENIE DLHU A LIKVIDITY,BRATISLAVA,None
CSMPSKB1,25,CSOB ASSET MANAGEMENT, SPRAV.SPOL., A.S.,BRATISLAVA,None
KBSPSKBX,26,CSOB STAVEBNA SPORITELNA, A.S.,BRATISLAVA,None
DLOCSKB1,27,DLHOPIS, O.C.P., A.S.,BRATISLAVA,None
EUICSKB1,28,EUROPEAN INVESTMENT CENTRE,BRATISLAVA,None
EUACSKB1,29,EUROPEAN RATING AGENCY, A.S.,BRATISLAVA,None
EXSKSKBX,30,EXPORT-IMPORT BANK OF SLOVAK REPUBLIC,BRATISLAVA,None
FIAPSKB1,31,FIMEX CAPITAL O.C.P., A.S.,BRATISLAVA,None
FIOZSKBA,32,FIO BANKA, A.S., POBOCKA ZAHRANICNEJ BANKY,BRATISLAVA,None
FOOCSKB1,33,FIO O.C.P., A.S.,BRATISLAVA,None
FDXXSKBA,34,FIRST DATA SLOVAKIA, S.R.O.,BRATISLAVA,None
IFCCSKB1,35,INFINITY CAPITAL, O.C.P., A.S.,BRATISLAVA,None
INGBSKBX,36,ING BANK N.V., POBOCKA ZAHR, BANKY,BRATISLAVA,None
IDSSSKB1,37,INVESTICNA A DOCHODKOVA, SPRAV. SPOL., A.S.,BRATISLAVA,None
JTBPSKBA,38,J AND T BANKA, A.S.,POBOCKA ZAHRANICNEJ BANKY,BRATISLAVA,None
SESCSKB1,39,J AND T CORPORATE FINANCE SLOVAKIA, A.S.,BRATISLAVA,None
FGRPSKB1,40,J AND T FINANCE GROUP, A.S.,BRATISLAVA,None
KODBSKBX,41,KDB BANK EUROPE LTD SLOVAKIAN BRANCH OFFICE,BRATISLAVA,None
KOMBSKBATGT,42,KOMERCNI BANKA , A.S., POBOCKA ZAHRANICNEJ BANKY,BRATISLAVA,(RESTRICTED TARGET USE)
KOMBSKBA,43,KOMERCNI BANKA , A.S., POBOCKA ZAHRANICNEJ BANKY,BRATISLAVA,None
KEIOSKB1,44,M SECURITIES O.C.P., A.S.,BRATISLAVA,None
BREXSKBX,45,MBANK S.A., POBOCKA ZAHRANICNEJ BANKY,BRATISLAVA,None
MFSRSKB1,46,MINISTRY OF FINANCE OF THE SLOVAK REPUBLIC,BRATISLAVA,None
HYMOSK21,47,MOBIS SLOVAKIA S.R.O.,GBELANY,None
KRAFSKBAPYL,48,MONDELEZ EUROPEAN BUSINESS SERVICES CENTRE, S.R.O.,BRATISLAVA,(CUSTOMER NAMING CONVENTION)
KRAFSKBASSC,49,MONDELEZ EUROPEAN BUSINESS SERVICES CENTRE, S.R.O.,BRATISLAVA,(SHARED SERVICE CENTRE)
KRAFSKBATSY,50,MONDELEZ EUROPEAN BUSINESS SERVICES CENTRE, S.R.O.,BRATISLAVA,(TREASURY)
KRAFSKBA,51,MONDELEZ EUROPEAN BUSINESS SERVICES CENTRE, S.R.O.,BRATISLAVA,None
MMBCSKB1,52,MONEY MARKET BROKERS, O.C.P., A.S.,BRATISLAVA,None
NBSBSKBXEBA,53,NARODNA BANKA SLOVENSKA (NATIONAL BANK OF SLOVAKIA),BRATISLAVA,(ACCOUNT FOR EBA CLEARING SETTLEMENT)
NBSBSKBXFE1,54,NARODNA BANKA SLOVENSKA (NATIONAL BANK OF SLOVAKIA),BRATISLAVA,(ACCOUNT FOR FEES)
NBSBSKBXIN1,55,NARODNA BANKA SLOVENSKA (NATIONAL BANK OF SLOVAKIA),BRATISLAVA,(ACCOUNT FOR INTERESTS)
NBSBSKBXSIP,56,NARODNA BANKA SLOVENSKA (NATIONAL BANK OF SLOVAKIA),BRATISLAVA,(AS)
NBSBSKBXCCB,57,NARODNA BANKA SLOVENSKA (NATIONAL BANK OF SLOVAKIA),BRATISLAVA,(CCB ACCOUNT)
NBSBSKBXEUX,58,NARODNA BANKA SLOVENSKA (NATIONAL BANK OF SLOVAKIA),BRATISLAVA,(ECB ACCOUNT)
NBSBSKBXTGT,59,NARODNA BANKA SLOVENSKA (NATIONAL BANK OF SLOVAKIA),BRATISLAVA,(TARGET2 CUSTOMER PAYMENTS)
NBSBSKBX100,60,NARODNA BANKA SLOVENSKA (NATIONAL BANK OF SLOVAKIA),BRATISLAVA,(TEST ACCOUNT)
NBSBSKBX200,61,NARODNA BANKA SLOVENSKA (NATIONAL BANK OF SLOVAKIA),BRATISLAVA,(TEST ACCOUNT)
NBSBSKBX,62,NARODNA BANKA SLOVENSKA (NATIONAL BANK OF SLOVAKIA),BRATISLAVA,None
NCDCSKBA,63,NARODNY CENTRALNY DEPOZITAR CENNYCH PAPIEROV, A.S.,BRATISLAVA,None
NCDCSKBATPM,64,NARODNY CENTRALNY DEPOZITAR CENNYCH PAPIEROV, A.S.,BRATISLAVA,None
OBKLSKBA,65,OBERBANK AG,BRATISLAVA,None
OTPVSKBX,66,OTP BANKA SLOVENSKO, A.S.,BRATISLAVA,None
OXCCSKB1,67,OXYS CAPITAL, A.S., O.C.P.,BRATISLAVA,None
PABOSKB1,68,PALCO BROKERS, O.C.P., A.S.,BRATISLAVA,None
NFDNSKBA,69,PAYMENT INSTITUTION NFD A.S.,STARA LUBOVNA,None
POOCSKB1,70,PORTFIN, O.C.P., A.S.,BRATISLAVA,None
POBNSKBA,71,POSTOVA BANKA A.S.,BRATISLAVA,None
KOMASK2XBBY,72,PRIMA BANKA SLOVENSKO, A.S.,BANSKA BYSTRICA,(BANSKA BYSTRICA BRANCH)
KOMASK2XBST,73,PRIMA BANKA SLOVENSKO, A.S.,BANSKA STIAVNICA,(BANSKA STIAVNICA BRANCH)
KOMASK2XBRA,74,PRIMA BANKA SLOVENSKO, A.S.,BRATISLAVA,(BRATISLAVA BRANCH)
KOMASK2XBRE,75,PRIMA BANKA SLOVENSKO, A.S.,BREZNO,(BREZNO BRANCH)
KOMASK2XKOS,76,PRIMA BANKA SLOVENSKO, A.S.,KOSICE,(KOSICE BRANCH)
KOMASK2XLHR,77,PRIMA BANKA SLOVENSKO, A.S.,LIPTOVSKY HRADOK,(LIPTOVSKY HRADOK BRANCH)
KOMASK2XLCN,78,PRIMA BANKA SLOVENSKO, A.S.,LUCENEC,(LUCENEC BRANCH)
KOMASK2XMAL,79,PRIMA BANKA SLOVENSKO, A.S.,MALACKY,(MALACKY BRANCH)
KOMASK2XMCH,80,PRIMA BANKA SLOVENSKO, A.S.,MICHALOVCE,(MICHALOVCE BRANCH)
KOMASK2XNIT,81,PRIMA BANKA SLOVENSKO, A.S.,NITRA,(NITRA BRANCH)
KOMASK2XPBY,82,PRIMA BANKA SLOVENSKO, A.S.,POVAZSKA BYSTRICA,(POVAZSKA BYSTRICA BRANCH)
KOMASK2XSNV,83,PRIMA BANKA SLOVENSKO, A.S.,SPISSKA NOVA VES,(SPISSKA NOVA VES BRANCH)
KOMASK2XTRE,84,PRIMA BANKA SLOVENSKO, A.S.,TRENCIN,(TRENCIN BRANCH)
KOMASK2XTNA,85,PRIMA BANKA SLOVENSKO, A.S.,TRNAVA,(TRNAVA BRANCH)
KOMASK2X,86,PRIMA BANKA SLOVENSKO, A.S.,ZILINA,(HEAD OFFICE)
KOMASK2XZIL,87,PRIMA BANKA SLOVENSKO, A.S.,ZILINA,(ZILINA BRANCH)
LUBASKBX,88,PRIMA BANKA SLOVENSKO, A.S. (FORMERLY SBERBANK SLOVENSKO, A.S.),ZILINA,None
BSLOSK22,89,PRIVATBANKA, A.S.,BRATISLAVA,None
PRFOSKB1,90,PROXENTA FINANCE, O.C.P., A.S.,BRATISLAVA,None
PRVASKBA,91,PRVA STAVEBNA SPORITELNA, A.S.,BRATISLAVA,None
QSOLSKB1,92,QUANTON SOLUTIONS,BRATISLAVA,None
CENBSKB1,93,RAIFFEISEN CENTROBANK AG SLOVAK BRANCH, POBOCKA ZAHRANICNEJ BANKY,BRATISLAVA,None
RMMOSKB1,94,RM-S MARKET, O.C.P., A.S.,BRATISLAVA,None
SNCESKB1,95,RVS, A.S.,BRATISLAVA,None
SAIPSKB1,96,SALVE INVESTMENTS, O.C.P., A.S.,BRATISLAVA,None
SECTSKS1492,97,SAMSUNG ELECTRONICS LCD SLOVAKIA S.R.O.,BRATISLAVA,(SEH-SK)
SECTSKS14M0,98,SAMSUNG ELECTRONICS LCD SLOVAKIA S.R.O.,GALANTA,(SESK)
SECTSKS14B5,99,SAMSUNG ELECTRONICS LCD SLOVAKIA S.R.O.,TRNAVA,(SELSK)
SECTSKS1,100,SAMSUNG ELECTRONICS LCD SLOVAKIA S.R.O.,TRNAVA,None
SEFOSK21,101,SEVISBROKERS FINANCE O.C.P., A.S.,ZILINA,None
SFGOSKB1,102,SFM GROUP, O.C.P., A.S.,BRATISLAVA,None
SKAOSKB1,103,SKODA AUTO SLOVENSKO,BRATISLAVA,None
SLCCSKB1,104,SLAVIA CAPITAL, A.S., O.C.P.,BRATISLAVA,None
SNERSK21,105,SLOVAK NATIONAL EMISSION REGISTRY,ZILINA,None
GIBASKBX,106,SLOVENSKA SPORITELNA, A.S.,BRATISLAVA,None
SLZBSKBA,107,SLOVENSKA ZARUCNA A ROZVOJOVA BANKA, A.S.,BRATISLAVA,None
SPSRSKBA,108,STATNA POKLADNICA,BRATISLAVA,None
SPSRSKBAARD,109,STATNA POKLADNICA,BRATISLAVA,None
SYFOSKB1,110,SYMPATIA FINANCIE, O.C.P., A.S.,BRATISLAVA,None
TAMPSKB1,111,TATRA ASSET MANAGEMENT, SPRAV.SPOL. A.S.,BRATISLAVA,None
TATRSKBX,112,TATRA BANKA A.S.,BRATISLAVA,None
TPAYSKBX,113,TRUST PAY, A.S.,BRATISLAVA,None
UNUDSKB1,114,UNIBON-SPORITELNI A UVERNI DRUZSTVO,BRATISLAVA,None
UNCRSKBXFAR,115,UNICREDIT BANK CZ AND SK, SK BRANCH,BRATISLAVA,(INTERNAL FILE ACT ROUTING)
UNCRSKBXOWN,116,UNICREDIT BANK CZ AND SK, SK BRANCH,BRATISLAVA,(SECURITIES SETTLEMENT)
UNCRSKBX,117,UNICREDIT BANK CZ AND SK, SK BRANCH,BRATISLAVA,None
VOCPSKB1,118,VALOR O.C.P., A.S.,BRATISLAVA,None
VFSSSKB1,119,VOLKSWAGEN FINANCE SLUZBY SLOVENSKO,BRATISLAVA,None
SUBASKBX,120,VSEOBECNA UVEROVA BANKA A.S.,BRATISLAVA,None
WUSTSKBA,121,WUSTENROT STAVEBNA SPORITELNA, A.S.,BRATISLAVA,None
TBRDSKB1,122,X-TRADE BROKERS DM S.A., ORGANIZACNA ZLOZKA,BRATISLAVA,None
